Date : 2025-06-12 13:01:39
Directory : /Users/samharvey/development/flutter_apps/aquabalance
Total : 84 files,  9245 codes, 1033 comments, 1163 blanks, all 11441 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| ios (Files)                                                                                                              |          1 |         31 |          3 |         10 |         44 |
| ios/Runner                                                                                                               |          8 |        129 |          2 |          9 |        140 |
| ios/Runner (Files)                                                                                                       |          2 |         13 |          0 |          3 |         16 |
| ios/Runner/Assets.xcassets                                                                                               |          4 |         48 |          0 |          4 |         52 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                            |          1 |          1 |          0 |          0 |          1 |
| ios/Runner/Assets.xcassets/LaunchBackground.imageset                                                                     |          1 |         21 |          0 |          1 |         22 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                          |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                                                    |          2 |         68 |          2 |          2 |         72 |
| ios/RunnerTests                                                                                                          |          1 |          7 |          2 |          4 |         13 |
| lib                                                                                                                      |         23 |      6,194 |        610 |        611 |      7,415 |
| lib (Files)                                                                                                              |          1 |         36 |          1 |          5 |         42 |
| lib/config                                                                                                               |          1 |         99 |         15 |         16 |        130 |
| lib/data                                                                                                                 |          6 |        509 |         67 |         77 |        653 |
| lib/data/api                                                                                                             |          1 |        114 |         21 |         21 |        156 |
| lib/data/database                                                                                                        |          1 |        197 |         29 |         31 |        257 |
| lib/data/models                                                                                                          |          4 |        198 |         17 |         25 |        240 |
| lib/logic                                                                                                                |          5 |      1,141 |        155 |        192 |      1,488 |
| lib/logic (Files)                                                                                                        |          2 |        464 |         64 |         79 |        607 |
| lib/logic/services                                                                                                       |          3 |        677 |         91 |        113 |        881 |
| lib/ui                                                                                                                   |         10 |      4,409 |        372 |        321 |      5,102 |
| lib/ui/views                                                                                                             |          8 |      4,352 |        366 |        311 |      5,029 |
| lib/ui/widgets                                                                                                           |          2 |         57 |          6 |         10 |         73 |
| linux                                                                                                                    |          9 |        330 |         37 |         92 |        459 |
| linux (Files)                                                                                                            |          1 |        104 |          0 |         25 |        129 |
| linux/flutter                                                                                                            |          4 |        110 |          9 |         27 |        146 |
| linux/runner                                                                                                             |          4 |        116 |         28 |         40 |        184 |
| macos                                                                                                                    |          7 |        489 |          6 |         26 |        521 |
| macos (Files)                                                                                                            |          1 |         32 |          1 |         10 |         43 |
| macos/Flutter                                                                                                            |          1 |         16 |          3 |          4 |         23 |
| macos/Runner                                                                                                             |          4 |        434 |          0 |          8 |        442 |
| macos/Runner (Files)                                                                                                     |          2 |         23 |          0 |          7 |         30 |
| macos/Runner/Assets.xcassets                                                                                             |          1 |         68 |          0 |          0 |         68 |
| macos/Runner/Assets.xcassets/AppIcon.appiconset                                                                          |          1 |         68 |          0 |          0 |         68 |
| macos/Runner/Base.lproj                                                                                                  |          1 |        343 |          0 |          1 |        344 |
| macos/RunnerTests                                                                                                        |          1 |          7 |          2 |          4 |         13 |
| test                                                                                                                     |          3 |      1,025 |        133 |        168 |      1,326 |
| web                                                                                                                      |          2 |        125 |         15 |         17 |        157 |
| windows                                                                                                                  |         14 |        687 |         94 |        188 |        969 |
| windows (Files)                                                                                                          |          1 |         89 |          0 |         20 |        109 |
| windows/flutter                                                                                                          |          4 |        136 |          9 |         29 |        174 |
| windows/runner                                                                                                           |          9 |        462 |         85 |        139 |        686 |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                 | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/samharvey/development/flutter_apps/aquabalance/README.md                                                          | Markdown   |         26 |          0 |         10 |         36 |
| /Users/samharvey/development/flutter_apps/aquabalance/analysis_options.yaml                                              | YAML       |          3 |         22 |          4 |         29 |
| /Users/samharvey/development/flutter_apps/aquabalance/android/app/google-services.json                                   | JSON       |         29 |          0 |          0 |         29 |
| /Users/samharvey/development/flutter_apps/aquabalance/android/app/src/debug/AndroidManifest.xml                          | XML        |          3 |          4 |          1 |          8 |
| /Users/samharvey/development/flutter_apps/aquabalance/android/app/src/main/AndroidManifest.xml                           | XML        |         34 |         11 |          1 |         46 |
| /Users/samharvey/development/flutter_apps/aquabalance/android/app/src/main/res/drawable-v21/launch_background.xml        | XML        |          9 |          0 |          1 |         10 |
| /Users/samharvey/development/flutter_apps/aquabalance/android/app/src/main/res/drawable/launch_background.xml            | XML        |          9 |          0 |          1 |         10 |
| /Users/samharvey/development/flutter_apps/aquabalance/android/app/src/main/res/values-night-v31/styles.xml               | XML        |         12 |          7 |          1 |         20 |
| /Users/samharvey/development/flutter_apps/aquabalance/android/app/src/main/res/values-night/styles.xml                   | XML        |         13 |          9 |          1 |         23 |
| /Users/samharvey/development/flutter_apps/aquabalance/android/app/src/main/res/values-v31/styles.xml                     | XML        |         12 |          7 |          1 |         20 |
| /Users/samharvey/development/flutter_apps/aquabalance/android/app/src/main/res/values/styles.xml                         | XML        |         13 |          9 |          1 |         23 |
| /Users/samharvey/development/flutter_apps/aquabalance/android/app/src/profile/AndroidManifest.xml                        | XML        |          3 |          4 |          1 |          8 |
| /Users/samharvey/development/flutter_apps/aquabalance/android/gradle.properties                                          | Properties |          3 |          0 |          1 |          4 |
| /Users/samharvey/development/flutter_apps/aquabalance/android/gradle/wrapper/gradle-wrapper.properties                   | Properties |          5 |          0 |          1 |          6 |
| /Users/samharvey/development/flutter_apps/aquabalance/firebase.json                                                      | JSON       |          1 |          0 |          0 |          1 |
| /Users/samharvey/development/flutter_apps/aquabalance/ios/Podfile                                                        | Ruby       |         31 |          3 |         10 |         44 |
| /Users/samharvey/development/flutter_apps/aquabalance/ios/Runner/AppDelegate.swift                                       | Swift      |         12 |          0 |          2 |         14 |
| /Users/samharvey/development/flutter_apps/aquabalance/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json        | JSON       |          1 |          0 |          0 |          1 |
| /Users/samharvey/development/flutter_apps/aquabalance/ios/Runner/Assets.xcassets/LaunchBackground.imageset/Contents.json | JSON       |         21 |          0 |          1 |         22 |
| /Users/samharvey/development/flutter_apps/aquabalance/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json      | JSON       |         23 |          0 |          1 |         24 |
| /Users/samharvey/development/flutter_apps/aquabalance/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md          | Markdown   |          3 |          0 |          2 |          5 |
| /Users/samharvey/development/flutter_apps/aquabalance/ios/Runner/Base.lproj/LaunchScreen.storyboard                      | XML        |         43 |          1 |          1 |         45 |
| /Users/samharvey/development/flutter_apps/aquabalance/ios/Runner/Base.lproj/Main.storyboard                              | XML        |         25 |          1 |          1 |         27 |
| /Users/samharvey/development/flutter_apps/aquabalance/ios/Runner/Runner-Bridging-Header.h                                | C++        |          1 |          0 |          1 |          2 |
| /Users/samharvey/development/flutter_apps/aquabalance/ios/RunnerTests/RunnerTests.swift                                  | Swift      |          7 |          2 |          4 |         13 |
| /Users/samharvey/development/flutter_apps/aquabalance/lib/config/constants.dart                                          | Dart       |         99 |         15 |         16 |        130 |
| /Users/samharvey/development/flutter_apps/aquabalance/lib/data/api/rainfall_api.dart                                     | Dart       |        114 |         21 |         21 |        156 |
| /Users/samharvey/development/flutter_apps/aquabalance/lib/data/database/database_service.dart                            | Dart       |        197 |         29 |         31 |        257 |
| /Users/samharvey/development/flutter_apps/aquabalance/lib/data/models/monthly_rainfall_model.dart                        | Dart       |         25 |          1 |          4 |         30 |
| /Users/samharvey/development/flutter_apps/aquabalance/lib/data/models/rainfall_record_model.dart                         | Dart       |         80 |         11 |         13 |        104 |
| /Users/samharvey/development/flutter_apps/aquabalance/lib/data/models/tank_model.dart                                    | Dart       |         73 |          4 |          5 |         82 |
| /Users/samharvey/development/flutter_apps/aquabalance/lib/data/models/weather_data_model.dart                            | Dart       |         20 |          1 |          3 |         24 |
| /Users/samharvey/development/flutter_apps/aquabalance/lib/logic/results_calculator.dart                                  | Dart       |        450 |         58 |         75 |        583 |
| /Users/samharvey/development/flutter_apps/aquabalance/lib/logic/services/cache_service.dart                              | Dart       |         87 |         15 |         16 |        118 |
| /Users/samharvey/development/flutter_apps/aquabalance/lib/logic/services/data_persist_service.dart                       | Dart       |        389 |         71 |         91 |        551 |
| /Users/samharvey/development/flutter_apps/aquabalance/lib/logic/services/postcode_service.dart                           | Dart       |        201 |          5 |          6 |        212 |
| /Users/samharvey/development/flutter_apps/aquabalance/lib/logic/tank_volume_calculator.dart                              | Dart       |         14 |          6 |          4 |         24 |
| /Users/samharvey/development/flutter_apps/aquabalance/lib/main.dart                                                      | Dart       |         36 |          1 |          5 |         42 |
| /Users/samharvey/development/flutter_apps/aquabalance/lib/ui/views/home_view.dart                                        | Dart       |        138 |         13 |          5 |        156 |
| /Users/samharvey/development/flutter_apps/aquabalance/lib/ui/views/location_view.dart                                    | Dart       |        268 |         26 |         28 |        322 |
| /Users/samharvey/development/flutter_apps/aquabalance/lib/ui/views/optimisation_tips_view.dart                           | Dart       |        178 |         23 |         21 |        222 |
| /Users/samharvey/development/flutter_apps/aquabalance/lib/ui/views/output_view.dart                                      | Dart       |        720 |         34 |         31 |        785 |
| /Users/samharvey/development/flutter_apps/aquabalance/lib/ui/views/roof_catchment_view.dart                              | Dart       |        459 |         41 |         37 |        537 |
| /Users/samharvey/development/flutter_apps/aquabalance/lib/ui/views/tank_inventory_view.dart                              | Dart       |        976 |        104 |         67 |      1,147 |
| /Users/samharvey/development/flutter_apps/aquabalance/lib/ui/views/usage_comparison_view.dart                            | Dart       |        982 |         68 |         63 |      1,113 |
| /Users/samharvey/development/flutter_apps/aquabalance/lib/ui/views/water_usage_view.dart                                 | Dart       |        631 |         57 |         59 |        747 |
| /Users/samharvey/development/flutter_apps/aquabalance/lib/ui/widgets/constrained_width_widget.dart                       | Dart       |         13 |          4 |          3 |         20 |
| /Users/samharvey/development/flutter_apps/aquabalance/lib/ui/widgets/input_field_widget.dart                             | Dart       |         44 |          2 |          7 |         53 |
| /Users/samharvey/development/flutter_apps/aquabalance/linux/CMakeLists.txt                                               | CMake      |        104 |          0 |         25 |        129 |
| /Users/samharvey/development/flutter_apps/aquabalance/linux/flutter/CMakeLists.txt                                       | CMake      |         79 |          0 |         10 |         89 |
| /Users/samharvey/development/flutter_apps/aquabalance/linux/flutter/generated_plugin_registrant.cc                       | C++        |          7 |          4 |          5 |         16 |
| /Users/samharvey/development/flutter_apps/aquabalance/linux/flutter/generated_plugin_registrant.h                        | C++        |          5 |          5 |          6 |         16 |
| /Users/samharvey/development/flutter_apps/aquabalance/linux/flutter/generated_plugins.cmake                              | CMake      |         19 |          0 |          6 |         25 |
| /Users/samharvey/development/flutter_apps/aquabalance/linux/runner/CMakeLists.txt                                        | CMake      |         21 |          0 |          6 |         27 |
| /Users/samharvey/development/flutter_apps/aquabalance/linux/runner/main.cc                                               | C++        |          5 |          0 |          2 |          7 |
| /Users/samharvey/development/flutter_apps/aquabalance/linux/runner/my_application.cc                                     | C++        |         83 |         21 |         27 |        131 |
| /Users/samharvey/development/flutter_apps/aquabalance/linux/runner/my_application.h                                      | C++        |          7 |          7 |          5 |         19 |
| /Users/samharvey/development/flutter_apps/aquabalance/macos/Flutter/GeneratedPluginRegistrant.swift                      | Swift      |         16 |          3 |          4 |         23 |
| /Users/samharvey/development/flutter_apps/aquabalance/macos/Podfile                                                      | Ruby       |         32 |          1 |         10 |         43 |
| /Users/samharvey/development/flutter_apps/aquabalance/macos/Runner/AppDelegate.swift                                     | Swift      |         11 |          0 |          3 |         14 |
| /Users/samharvey/development/flutter_apps/aquabalance/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json      | JSON       |         68 |          0 |          0 |         68 |
| /Users/samharvey/development/flutter_apps/aquabalance/macos/Runner/Base.lproj/MainMenu.xib                               | XML        |        343 |          0 |          1 |        344 |
| /Users/samharvey/development/flutter_apps/aquabalance/macos/Runner/MainFlutterWindow.swift                               | Swift      |         12 |          0 |          4 |         16 |
| /Users/samharvey/development/flutter_apps/aquabalance/macos/RunnerTests/RunnerTests.swift                                | Swift      |          7 |          2 |          4 |         13 |
| /Users/samharvey/development/flutter_apps/aquabalance/pubspec.yaml                                                       | YAML       |         53 |         58 |         13 |        124 |
| /Users/samharvey/development/flutter_apps/aquabalance/test/postcode_service_test.dart                                    | Dart       |        326 |         46 |         64 |        436 |
| /Users/samharvey/development/flutter_apps/aquabalance/test/results_calculator_test.dart                                  | Dart       |        542 |         64 |         79 |        685 |
| /Users/samharvey/development/flutter_apps/aquabalance/test/tank_volume_calculator_test.dart                              | Dart       |        157 |         23 |         25 |        205 |
| /Users/samharvey/development/flutter_apps/aquabalance/web/index.html                                                     | HTML       |         90 |         15 |         17 |        122 |
| /Users/samharvey/development/flutter_apps/aquabalance/web/manifest.json                                                  | JSON       |         35 |          0 |          0 |         35 |
| /Users/samharvey/development/flutter_apps/aquabalance/windows/CMakeLists.txt                                             | CMake      |         89 |          0 |         20 |        109 |
| /Users/samharvey/development/flutter_apps/aquabalance/windows/flutter/CMakeLists.txt                                     | CMake      |         98 |          0 |         12 |        110 |
| /Users/samharvey/development/flutter_apps/aquabalance/windows/flutter/generated_plugin_registrant.cc                     | C++        |         12 |          4 |          5 |         21 |
| /Users/samharvey/development/flutter_apps/aquabalance/windows/flutter/generated_plugin_registrant.h                      | C++        |          5 |          5 |          6 |         16 |
| /Users/samharvey/development/flutter_apps/aquabalance/windows/flutter/generated_plugins.cmake                            | CMake      |         21 |          0 |          6 |         27 |
| /Users/samharvey/development/flutter_apps/aquabalance/windows/runner/CMakeLists.txt                                      | CMake      |         34 |          0 |          7 |         41 |
| /Users/samharvey/development/flutter_apps/aquabalance/windows/runner/flutter_window.cpp                                  | C++        |         49 |          7 |         16 |         72 |
| /Users/samharvey/development/flutter_apps/aquabalance/windows/runner/flutter_window.h                                    | C++        |         20 |          5 |          9 |         34 |
| /Users/samharvey/development/flutter_apps/aquabalance/windows/runner/main.cpp                                            | C++        |         30 |          4 |         10 |         44 |
| /Users/samharvey/development/flutter_apps/aquabalance/windows/runner/resource.h                                          | C++        |          9 |          6 |          2 |         17 |
| /Users/samharvey/development/flutter_apps/aquabalance/windows/runner/utils.cpp                                           | C++        |         54 |          2 |         10 |         66 |
| /Users/samharvey/development/flutter_apps/aquabalance/windows/runner/utils.h                                             | C++        |          8 |          6 |          6 |         20 |
| /Users/samharvey/development/flutter_apps/aquabalance/windows/runner/win32_window.cpp                                    | C++        |        210 |         24 |         55 |        289 |
| /Users/samharvey/development/flutter_apps/aquabalance/windows/runner/win32_window.h                                      | C++        |         48 |         31 |         24 |        103 |
| Total                                                                                                                    |            |      9,245 |      1,033 |      1,163 |     11,441 |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
